idx,dir,f12,seq,plen,b0,d0,enc,dec
1,OUT,-1471614835,1,8,0,77,000000000a000000,4db8a85447b8a854
2,OUT,-898991692,2,8,0,77,000000000c000000,4db8a85441b8a854
3,OUT,389010188,3,8,207,130,cffa000c55003650,8242a85818b89e04
4,OUT,237988806,4,8,206,131,ced4000c55000951,836ca85818b8a105
5,OUT,-747978370,5,31,201,132,c91c000c55005844ff3f0555ce0f347bcd0d3d7bcc0b2b67ce3f0555525568,84a4a85818b8f010b287ad0183b79c2f80b5952f81b383338387ad011fedc0
6,OUT,-1320662969,6,31,200,133,c819000c55005841144405553174347b32763d7b33702b6731440555565573,85a1a85818b8f01559fcad017ccc9c2f7fce952f7ec883337cfcad011beddb
7,OUT,1812849407,7,31,203,134,cb15000c5500584d2a4805553378347b307a3d7b317c2b67334805555a557f,86ada85818b8f01967f0ad017ec09c2f7dc2952f7cc483337ef0ad0117edd7
8,OUT,-2092353069,8,31,202,135,ca10000c55005848394c0555347c347b377e3d7b36782b67344c05555f558c,87a8a85818b8f01c74f4ad0179c49c2f7ac6952f7bc0833379f4ad0112ed24
9,OUT,1577882475,9,31,197,136,c52a000c55005872595005553860347b3b623d7b3a642b673850055565559a,8892a85818b8f02614e8ad0175d89c2f76da952f77dc833375e8ad0128ed32
10,OUT,1009654354,10,31,196,137,c423000c5500587b6a5405553f64347b3c663d7b3d602b673f5405556c55a9,899ba85818b8f02f27ecad0172dc9c2f71de952f70d8833372ecad0121ed01
11,OUT,-513036054,11,31,199,138,c73b000c550058636c5805552568347b266a3d7b276c2b67255805557455b9,8a83a85818b8f03721e0ad0168d09c2f6bd2952f6ad4833368e0ad0139ed11
12,OUT,-127203296,12,31,198,139,c632000c5500586a975c05552a6c347b296e3d7b28682b672a5c05557d55ca,8b8aa85818b8f03edae4ad0167d49c2f64d6952f65d0833367e4ad0130ed62
13,OUT,623813272,13,31,193,140,c1c8000c55005890836005551250347b11523d7b10542b67126005558755dc,8c70a85818b8f0c4ced8ad015fe89c2f5cea952f5dec83335fd8ad01caed74
14,OUT,1191979937,14,31,192,141,c0dd000c55005885986405551d54347b1e563d7b1f502b671d6405559255ef,8d65a85818b8f0d1d5dcad0150ec9c2f53ee952f52e8833350dcad01dfed47
15,OUT,-1706458855,15,31,195,142,c3d1000c55005889f06805550758347b045a3d7b055c2b67076805559e5503,8e69a85818b8f0ddbdd0ad014ae09c2f49e2952f48e483334ad0ad01d3edab
16,OUT,-1670780152,16,8,194,143,c28b000c55001bab,8f33a85818b8b3ff
17,OUT,1093419440,17,271,221,144,dd20000c54006fbe4d7005550c413d620b3335637e4134607d3430664d7005554d7005554d7005554d7005554d7005554d7005554d7005554d7005554d700555,9098a85819b8c7ea00c8ad0141f99536468b9d3733f99c34308c983200c8ad0100c8ad0100c8ad0100c8ad0100c8ad0100c8ad0100c8ad0100c8ad0100c8ad01
18,OUT,588171401,18,41,220,145,dcac000c55000ae95a7405555a7405555a7405555a7405555a7405555a7405555a7405555a740555b9,9114a85818b8a2bd17ccad0117ccad0117ccad0117ccad0117ccad0117ccad0117ccad0117ccad01f4
19,OUT,-28614095,19,8,223,146,dfbc000c550008d8,9204a85818b8a08c
20,OUT,-414459141,20,9,222,147,de8e000c550008e8e3,9336a85818b8a0bcae
21,OUT,974024771,21,8,217,148,d937000c550009fb,948fa85818b8a1af
22,OUT,1479342458,22,17,216,149,d8f7000c56004107988c0555987afaaaf0,954fa8581bb8e953d534ad01d5c252febd
23,OUT,-2056694846,23,8,219,150,db73000c56004222,96cba8581bb8ea76
24,OUT,1781369070,24,8,218,151,da41000c56007637,97f9a8581bb8de63
25,OUT,-1217912234,25,12,213,152,d5f3000c56004149d1900555,984ba8581bb8e91d9c28ad01
26,OUT,-716526737,26,8,212,153,d467000c56007764,99dfa8581bb8df30
27,OUT,135201239,27,8,215,154,d71f000c56000c7c,9aa7a8581bb8a428
28,OUT,286243101,28,8,214,155,d6a5000c56000c95,9b1da8581bb8a4c1
29,OUT,-867560539,29,9,209,156,d1a9000c560008aecc,9c11a8581bb8a0fa81
30,OUT,-1368876388,30,8,208,157,d0c8000c560035ca,9d70a8581bb89d9e
31,OUT,1932341284,31,8,211,158,d3a6000c560030e6,9e1ea8581bb898b2
32,OUT,-1574416706,32,8,210,159,d295000c57003203,9f2da8581ab89a57
33,OUT,2137908230,33,8,237,160,ed19000c57003121,a0a1a8581ab89975
34,OUT,491744575,34,29,236,161,ec93000c570040554d4afaaab2bd0555b24bfaaa4db50555b2b4055571,a12ba8581ab8e80100f252feff05ad01fff352fe000dad01ff0cad013c
35,OUT,-1073035385,35,8,239,162,ef40000c57001960,a2f8a8581ab8b134
