Memory Map for PID=26380
====================================================================================================
       BaseAddress       Size    State  Prot     Type
----------------------------------------------------------------------------------------------------
0x0000000000010000       3000   COMMIT     R   MAPPED
0x0000000000013000       D000     FREE NOACC     NONE
0x0000000000020000      10000   COMMIT    RW   MAPPED
0x0000000000030000       3000   COMMIT     R   MAPPED
0x0000000000033000       D000     FREE NOACC     NONE
0x0000000000040000      1F000   COMMIT     R   MAPPED
0x000000000005F000       1000     FREE NOACC     NONE
0x0000000000060000      35000  RESERVE    00  PRIVATE
0x0000000000095000       3000   COMMIT    RW  PRIVATE
0x0000000000098000       8000   COMMIT    RW  PRIVATE
0x00000000000A0000      DE000  RESERVE    00  PRIVATE
0x000000000017E000       2000   COMMIT    RW  PRIVATE
0x0000000000180000      20000   COMMIT    RW  PRIVATE
0x00000000001A0000       4000   COMMIT     R   MAPPED
0x00000000001A4000       C000     FREE NOACC     NONE
0x00000000001B0000       1000   COMMIT     R   MAPPED
0x00000000001B1000       F000     FREE NOACC     NONE
0x00000000001C0000       2000   COMMIT    RW  PRIVATE
0x00000000001C2000       E000     FREE NOACC     NONE
0x00000000001D0000       3000   COMMIT     R   MAPPED
0x00000000001D3000       D000     FREE NOACC     NONE
0x00000000001E0000       1000   COMMIT     R   MAPPED
0x00000000001E1000       F000     FREE NOACC     NONE
0x00000000001F0000       1000   COMMIT     R   MAPPED
0x00000000001F1000       F000     FREE NOACC     NONE
0x0000000000200000       4000   COMMIT    RW  PRIVATE
0x0000000000204000       4000  RESERVE    00  PRIVATE
0x0000000000208000      20000   COMMIT    RW  PRIVATE
0x0000000000228000       8000  RESERVE    00  PRIVATE
0x0000000000230000       4000   COMMIT    RW  PRIVATE
0x0000000000234000       8000  RESERVE    00  PRIVATE
0x000000000023C000      2C000   COMMIT    RW  PRIVATE
0x0000000000268000      30000  RESERVE    00  PRIVATE
0x0000000000298000       4000   COMMIT    RW  PRIVATE
0x000000000029C000       C000  RESERVE    00  PRIVATE
0x00000000002A8000      24000   COMMIT    RW  PRIVATE
0x00000000002CC000     117000  RESERVE    00  PRIVATE
0x00000000003E3000       6000   COMMIT    RW  PRIVATE
0x00000000003E9000      10000  RESERVE    00  PRIVATE
0x00000000003F9000       4000   COMMIT    RW  PRIVATE
0x00000000003FD000       3000  RESERVE    00  PRIVATE
0x0000000000400000       1000   COMMIT     R    IMAGE
0x0000000000401000    228F000   COMMIT   ERW    IMAGE
0x0000000002690000     35B000   COMMIT   EWC    IMAGE
0x00000000029EB000      B1000   COMMIT   ERW    IMAGE
0x0000000002A9C000     170000   COMMIT   EWC    IMAGE
0x0000000002C0C000       8000   COMMIT    RW    IMAGE
0x0000000002C14000       2000   COMMIT   EWC    IMAGE
0x0000000002C16000       1000   COMMIT   ERW    IMAGE
0x0000000002C17000       5000   COMMIT   EWC    IMAGE
0x0000000002C1C000       4000   COMMIT   ERW    IMAGE
0x0000000002C20000      6F000   COMMIT   EWC    IMAGE
0x0000000002C8F000      65000   COMMIT   ERW    IMAGE
0x0000000002CF4000       8000   COMMIT   EWC    IMAGE
0x0000000002CFC000       1000   COMMIT     R    IMAGE
0x0000000002CFD000       3000     FREE NOACC     NONE
0x0000000002D00000      31000   COMMIT     R   MAPPED
0x0000000002D31000       F000     FREE NOACC     NONE
0x0000000002D40000       2000   COMMIT    RW  PRIVATE
0x0000000002D42000      60000  RESERVE    00  PRIVATE
0x0000000002DA2000       E000     FREE NOACC     NONE
0x0000000002DB0000      31000   COMMIT     R   MAPPED
0x0000000002DE1000       F000     FREE NOACC     NONE
0x0000000002DF0000       5000   COMMIT    RW  PRIVATE
0x0000000002DF5000      30000  RESERVE    00  PRIVATE
0x0000000002E25000       B000     FREE NOACC     NONE
0x0000000002E30000      CE000   COMMIT     R   MAPPED
0x0000000002EFE000       2000     FREE NOACC     NONE
0x0000000002F00000       1000   COMMIT     R   MAPPED
0x0000000002F01000       F000     FREE NOACC     NONE
0x0000000002F10000       4000   COMMIT     R   MAPPED
0x0000000002F14000       4000  RESERVE    00   MAPPED
0x0000000002F18000       8000     FREE NOACC     NONE
0x0000000002F20000       1000   COMMIT     R   MAPPED
0x0000000002F21000       F000     FREE NOACC     NONE
0x0000000002F30000       F000   COMMIT    RW  PRIVATE
0x0000000002F3F000       1000  RESERVE    00  PRIVATE
0x0000000002F40000      31000   COMMIT     R   MAPPED
0x0000000002F71000      8F000     FREE NOACC     NONE
0x0000000003000000       1000   COMMIT     R    IMAGE
0x0000000003001000       D000   COMMIT    RX    IMAGE
0x000000000300E000       3000   COMMIT    RW    IMAGE
0x0000000003011000       3000   COMMIT     R    IMAGE
0x0000000003014000       C000     FREE NOACC     NONE
0x0000000003020000       F000   COMMIT    RW  PRIVATE
0x000000000302F000       1000  RESERVE    00  PRIVATE
0x0000000003030000       1000   COMMIT     R    IMAGE
0x0000000003031000      11000   COMMIT    RX    IMAGE
0x0000000003042000       6000   COMMIT     R    IMAGE
0x0000000003048000       3000   COMMIT    RW    IMAGE
0x000000000304B000       3000   COMMIT     R    IMAGE
0x000000000304E000       2000     FREE NOACC     NONE
0x0000000003050000       1000   COMMIT     R   MAPPED
0x0000000003051000       F000     FREE NOACC     NONE
0x0000000003060000      FF000   COMMIT    RW  PRIVATE
0x000000000315F000       1000  RESERVE    00  PRIVATE
0x0000000003160000      1A000   COMMIT     R   MAPPED
0x000000000317A000     1E6000  RESERVE    00   MAPPED
0x0000000003360000     181000   COMMIT     R   MAPPED
0x00000000034E1000       F000     FREE NOACC     NONE
0x00000000034F0000      DF000   COMMIT     R   MAPPED
0x00000000035CF000    1322000  RESERVE    00   MAPPED
0x00000000048F1000     14F000     FREE NOACC     NONE
0x0000000004A40000       1000   COMMIT     R    IMAGE
0x0000000004A41000       4000   COMMIT    RX    IMAGE
0x0000000004A45000       2000   COMMIT     R    IMAGE
0x0000000004A47000       2000   COMMIT    RW    IMAGE
0x0000000004A49000       2000   COMMIT     R    IMAGE
0x0000000004A4B000       5000     FREE NOACC     NONE
0x0000000004A50000       1000   COMMIT     R   MAPPED
0x0000000004A51000       F000     FREE NOACC     NONE
0x0000000004A60000       1000   COMMIT     R    IMAGE
0x0000000004A61000      26000   COMMIT    RX    IMAGE
0x0000000004A87000       3000   COMMIT     R    IMAGE
0x0000000004A8A000       5000   COMMIT    RW    IMAGE
0x0000000004A8F000       4000   COMMIT     R    IMAGE
0x0000000004A93000       D000     FREE NOACC     NONE
0x0000000004AA0000       1000   COMMIT     R   MAPPED
0x0000000004AA1000       F000     FREE NOACC     NONE
0x0000000004AB0000       1000   COMMIT     R    IMAGE
0x0000000004AB1000      23000   COMMIT    RX    IMAGE
0x0000000004AD4000       3000   COMMIT     R    IMAGE
0x0000000004AD7000       4000   COMMIT    RW    IMAGE
0x0000000004ADB000       3000   COMMIT     R    IMAGE
0x0000000004ADE000       2000     FREE NOACC     NONE
0x0000000004AE0000       1000   COMMIT     R   MAPPED
0x0000000004AE1000       F000     FREE NOACC     NONE
0x0000000004AF0000       6000   COMMIT    RW  PRIVATE
0x0000000004AF6000       A000  RESERVE    00  PRIVATE
0x0000000004B00000     200000     FREE NOACC     NONE
0x0000000004D00000       1000   COMMIT     R    IMAGE
0x0000000004D01000     21D000   COMMIT    RX    IMAGE
0x0000000004F1E000       1000   COMMIT    RW    IMAGE
0x0000000004F1F000       1000   COMMIT    WC    IMAGE
0x0000000004F20000       1000   COMMIT    RW    IMAGE
0x0000000004F21000       2000   COMMIT    WC    IMAGE
0x0000000004F23000       1000   COMMIT    RW    IMAGE
0x0000000004F24000       3000   COMMIT    WC    IMAGE
0x0000000004F27000       1000   COMMIT    RW    IMAGE
0x0000000004F28000       2000   COMMIT    WC    IMAGE
0x0000000004F2A000       2000   COMMIT    RW    IMAGE
0x0000000004F2C000       3000   COMMIT    WC    IMAGE
0x0000000004F2F000       2000   COMMIT    RW    IMAGE
0x0000000004F31000       1000   COMMIT    WC    IMAGE
0x0000000004F32000       1000   COMMIT    RW    IMAGE
0x0000000004F33000       3000   COMMIT    WC    IMAGE
0x0000000004F36000       4000   COMMIT    RW    IMAGE
0x0000000004F3A000      10000   COMMIT    WC    IMAGE
0x0000000004F4A000       1000   COMMIT    RW    IMAGE
0x0000000004F4B000       3000   COMMIT    WC    IMAGE
0x0000000004F4E000       1000   COMMIT    RW    IMAGE
0x0000000004F4F000      11000   COMMIT     R    IMAGE
0x0000000004F60000       1000   COMMIT     R    IMAGE
0x0000000004F61000      92000   COMMIT    RX    IMAGE
0x0000000004FF3000      17000   COMMIT     R    IMAGE
0x000000000500A000       1000   COMMIT    RW    IMAGE
0x000000000500B000       1000   COMMIT    WC    IMAGE
