idx,len,f12,seq,plen,enc_prefix,dec_prefix,raw_hex
1,291,1620428331,19,271,fd9d005c57006c0368c0c95729f1f1602e83f9615bf1f8625884fc6468c0c957,b025a8081ab8c4572578610364495934633b513516495036153c543025786103,43d58b80c4748adb00017c392bc6956013000000fd9d005c57006c0368c0c95729f1f1602e83f9615bf1f8625884fc6468c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0a46f51f1fb6650c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c96f50f0fb645ca4a83968c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0c95768c0f9670df2ff6e5ef5a86f0bf5f86759eefb6550eefa6346f2f85704565d
2,61,2039840481,20,41,f271005c5600093477c4c95777c4c95777c4c95777c4c95777c4c95777c4c957,bfc9a8081bb8a1603a7c61033a7c61033a7c61033a7c61033a7c61033a7c6103,43d58b80c4748adb00017c39e17e957914000000f271005c5600093477c4c95777c4c95777c4c95777c4c95777c4c95777c4c95777c4c95777c4c957a6
3,28,-1529818023,21,8,f343005c56000b27,befba8081bb8a373,43d58b80c4748adb00017c3959d4d0a415000000f343005c56000b27
4,29,-957194912,22,9,f05d005c56000b3bd2,bde5a8081bb8a36f9f,43d58b80c4748adb00017c39605df2c616000000f05d005c56000b3bd2
5,28,465041368,23,8,f182005c56000a4e,bc3aa8081bb8a21a,43d58b80c4748adb00017c39d8f7b71b17000000f182005c56000a4e
6,37,-185389836,24,17,f69a005c5600416abddcc957bd2a36a8fb,bb22a8081bb8e93ef0646103f0929efcb6,43d58b80c4748adb00017c39f42cf3f418000000f69a005c5600416abddcc957bd2a36a8fb
7,28,699827788,25,8,f728005c56004279,ba90a8081bb8ea2d,43d58b80c4748adb00017c394c86b62919000000f728005c56004279
8,28,1267994485,26,8,f4e6005c56007690,b95ea8081bb8dec4,43d58b80c4748adb00017c39750f944b1a000000f4e6005c56007690
9,32,-1764645427,27,12,f516005c560041acfce0c957,b8aea8081bb8e9f8b1586103,43d58b80c4748adb00017c39cda5d1961b000000f516005c560041acfce0c957
10,28,-1882120953,28,8,eac2005c560077c1,a77aa8081bb8df95,43d58b80c4748adb00017c39071dd18f1c000000eac2005c560077c1
11,28,1385478079,29,8,ebb8005c56000cdb,a600a8081bb8a48f,43d58b80c4748adb00017c39bfb794521d000000ebb8005c56000cdb
12,28,817249926,30,8,e8c6005c56000cf6,a57ea8081bb8a4a2,43d58b80c4748adb00017c39863eb6301e000000e8c6005c56000cf6
13,29,-302803906,31,9,e914005c57000913cf,a4aca8081ab8a14782,43d58b80c4748adb00017c393e94f3ed1f000000e914005c57000913cf
14,28,1022814884,32,8,ee2d005c5700342f,a395a8081ab89c7b,43d58b80c4748adb00017c39a4eaf63c20000000ee2d005c5700342f
15,28,-508346340,33,8,ef0d005c5700314d,a2b5a8081ab89919,43d58b80c4748adb00017c391c40b3e121000000ef0d005c5700314d
16,28,-2087597787,34,8,ecfa005c5700326c,a142a8081ab89a38,43d58b80c4748adb00017c3925c9918322000000ecfa005c5700326c
17,28,1590977437,35,8,edb4005c5700318c,a00ca8081ab899d8,43d58b80c4748adb00017c399d63d45e23000000edb4005c5700318c
18,49,1205132119,36,29,e27e005c570040b810fa35a8ef0dca57effb35a81005ca57ef04ca577e,afc6a8081ab8e8ec5d429dfca2b56203a2439dfc5dbd6203a2bc620333,43d58b80c4748adb00017c3957dbd44724000000e27e005c570040b810fa35a8ef0dca57effb35a81005ca57ef04ca577e
19,28,-1701744145,37,8,e3ef005c570019cf,ae57a8081ab8b19b,43d58b80c4748adb00017c39ef71919a25000000e3ef005c570019cf
20,47,-122423082,38,27,e00b005c57004fe1310eca57fbf3198788ff7fa0300eca57f257e3,adb3a8081ab8e7b57cb66203b64bb1d3c547d7f47db66203bfef4b,43d58b80c4748adb00017c39d6f8b3f826000000e00b005c57004fe1310eca57fbf3198788ff7fa0300eca57f257e3
21,47,636899950,39,27,e1ef005c580040055312ca5799ef1987eae37fa052eed3570a4d00,ac57a80815b8e8511eaa6203d457b1d3a75bd7f41f567b0347f5a8,43d58b80c4748adb00017c396e52f62527000000e1ef005c580040055312ca5799ef1987eae37fa052eed3570a4d00
22,28,-894269118,40,8,e642005c58004f3b,abfaa80815b8e76f,43d58b80c4748adb00017c394289b2ca28000000e642005c58004f3b
23,28,402072570,41,8,e788005c58004f61,aa30a80815b8e735,43d58b80c4748adb00017c39fa23f71729000000e788005c58004f61
24,32,1976937155,42,12,e449005c58004f8cbe1eca57,a9f1a80815b8e7d8f3a66203,43d58b80c4748adb00017c39c3aad5752a000000e449005c58004f8cbe1eca57
25,28,-542217037,43,8,000000000a000000,4db8a85447b8a854,43d58b80c4748adb00017c39b36caedf2b000000000000000a000000
26,28,-961620871,44,8,000000000c000000,4db8a85441b8a854,43d58b80c4748adb00017c3979d4aec62c000000000000000c000000
27,290,468418241,45,270,cfba000c5400565700981c556da0256432a9245500981c5500981c5500981c55,8202a85819b8fe034d20b40120188d307f118c014d20b4014d20b4014d20b401,43d58b80c4748adb00017c39c17eeb1b2d000000cfba000c5400565700981c556da0256432a9245500981c5500981c5500981c5500981c5500981c5500981c5500981c5500981c5500981c5500981c5500981c5500981c5500981c5500981c5500981c550098d7a8d348a4a4b56f1cec39c8175548a0246532ab283161f61c5500981c5500981c5500981c5500981c5500981c5500981c5500981c5500981c5500981c5500981c5500981c5500981c5500981c5500981c6343db2d6530da5d7842ab29142dac281435b55d1038db316338dd2d6c35ab2e6734af2b5541a9246246db2c6333a92d6030dc296600a92c642eaa2e6d2eab287b32a91c5500981c55009806d04f74af4c00cb7a300267e3aaff60af4c00da2c6565aa2a6c36ad7d6d3260
28,32,2043279352,46,12,ceec000c55004256ff9b1c55,8354a85818b8ea02b223b401,43d58b80c4748adb00017c39f8f7c9792e000000ceec000c55004256ff9b1c55
29,28,-1534304960,47,8,c187000c55003754,8c3fa85818b89f00,43d58b80c4748adb00017c39405d8ca42f000000c187000c55003754
30,28,-1565771951,48,8,c0a4000c55000f57,8d1ca85818b8a703,43d58b80c4748adb00017c395137aca230000000c0a4000c55000f57
31,28,2146016745,49,8,c3ef000c5500315b,8e57a85818b8990f,43d58b80c4748adb00017c39e99de97f31000000c3ef000c5500315b
32,28,499848400,50,8,c266000c55000960,8fdea85818b8a134,43d58b80c4748adb00017c39d014cb1d32000000c266000c55000960
33,36,-1064386968,51,16,c5d9000c55004e6e09b01c5508b01c55,8861a85818b8e63a4408b4014508b401,43d58b80c4748adb00017c3968be8ec033000000c5d9000c55004e6e09b01c5508b01c55
34,36,-645003614,52,16,c4d2000c55004e650fb41c550eb41c55,896aa85818b8e631420cb401430cb401,43d58b80c4748adb00017c39a2068ed934000000c4d2000c55004e650fb41c550eb41c55
35,36,80456730,53,16,c7ca000c55004e7d16b81c5514b81c55,8a72a85818b8e6295b00b4015900b401,43d58b80c4748adb00017c391aaccb0435000000c7ca000c55004e7d16b81c5514b81c55
36,28,1726555427,54,8,c633000c55004d7e,8b8ba85818b8e52a,43d58b80c4748adb00017c392325e96636000000c633000c55004d7e
37,28,-1146318949,55,8,3993000f55003388,742ba85b18b89bdc,43d58b80c4748adb00017c399b8facbb370000003993000f55003388
38,28,1424512183,56,8,38d7000f55003793,756fa85b18b89fc7,43d58b80c4748adb00017c39b754e8543800000038d7000f55003793
39,32,-1985085937,57,12,3b2c000f5500429b37c81c55,7694a85b18b8eacf7a70b401,43d58b80c4748adb00017c390ffead89390000003b2c000f5500429b37c81c55
40,32,-342919370,58,12,3a1f000f550042a841cc1c55,77a7a85b18b8eafc0c74b401,43d58b80c4748adb00017c3936778feb3a0000003a1f000f550042a841cc1c55
41,32,919264654,59,12,3dc6000f550042be4dd01c55,707ea85b18b8eaea0068b401,43d58b80c4748adb00017c398eddca363b0000003dc6000f550042be4dd01c55
42,28,801793348,60,8,3c9a000f55004fc9,7122a85b18b8e79d,43d58b80c4748adb00017c394465ca2f3c0000003c9a000f55004fc9
43,32,-225456132,61,12,3f2e000f550049dd9727e3aa,7296a85b18b8e189da9f4bfe,43d58b80c4748adb00017c39fccf8ff23d0000003f2e000f550049dd9727e3aa
44,28,-1867692347,62,8,3e24000f55004fea,739ca85b18b8e7be,43d58b80c4748adb00017c39c546ad903e0000003e24000f55004fea
45,28,1307110525,63,8,3152000f55004ffc,7ceaa85b18b8e7a8,43d58b80c4748adb00017c397dece84d3f0000003152000f55004ffc
46,28,927714560,64,8,30e9000f56000f0f,7d51a85b1bb8a75b,43d58b80c4748adb00017c3900cd4b374000000030e9000f56000f0f
47,28,-368154696,65,8,3374000f56004f23,7ecca85b1bb8e777,43d58b80c4748adb00017c39b8670eea410000003374000f56004f23
48,28,-2010321279,66,8,32a1000f56003238,7f19a85b1bb89a6c,43d58b80c4748adb00017c3981ee2c884200000032a1000f56003238
49,28,1432962105,67,8,355e000f5600084e,78e6a85b1bb8a01a,43d58b80c4748adb00017c393944695543000000355e000f5600084e
50,28,1282014451,68,8,348a000f56000865,7932a85b1bb8a031,43d58b80c4748adb00017c39f3fc694c44000000348a000f56000865
51,28,-1859365301,69,8,37fb000f5600347d,7a43a85b1bb89c29,43d58b80c4748adb00017c394b562c914500000037fb000f5600347d
52,28,-217129102,70,8,3659000f56003296,7be1a85b1bb89ac2,43d58b80c4748adb00017c3972df0ef3460000003659000f56003296
53,28,776697290,71,8,2944000f560033b0,64fca85b1bb89be4,43d58b80c4748adb00017c39ca754b2e470000002944000f560033b0
