idx,dir,f12,seq,plen,b0,d0,enc,dec
1,OUT,-1471614835,1,8,0,77,000000000a000000,4db8a85447b8a854
2,OUT,-898991692,2,8,0,77,000000000c000000,4db8a85441b8a854
3,OUT,389010188,3,8,205,128,cdf1001c5500365b,8049a84818b89e0f
4,OUT,237988806,4,8,194,143,c2d9001c5500095c,8f61a84818b8a108
5,OUT,-747978370,5,31,195,142,c311001c55005849ff07b955ce37887bcd35817bcc339767ce07b9555f5568,8ea9a84818b8f01db2bf1101838f202f808d292f818b3f3383bf110112edc0
6,OUT,-1320662969,6,31,192,141,c02e001c55005876140cb955313c887b323e817b33389767310cb955615573,8d96a84818b8f02259b411017c84202f7f86292f7e803f337cb411012ceddb
7,OUT,1812849407,7,31,193,140,c12a001c550058722a10b9553320887b3022817b312497673310b95565557f,8c92a84818b8f02667a811017e98202f7d9a292f7c9c3f337ea8110128edd7
8,OUT,-2092353069,8,31,198,139,c625001c5500587d3914b9553424887b3726817b362097673414b9556a558c,8b9da84818b8f02974ac1101799c202f7a9e292f7b983f3379ac110127ed24
9,OUT,1577882475,9,31,199,138,c73f001c550058675918b9553828887b3b2a817b3a2c97673818b95570559a,8a87a84818b8f03314a011017590202f7692292f77943f3375a011013ded32
10,OUT,1009654354,10,31,196,137,c438001c550058606a1cb9553f2c887b3c2e817b3d2897673f1cb9557755a9,8980a84818b8f03427a411017294202f7196292f70903f3372a411013aed01
11,OUT,-513036054,11,31,197,136,c530001c550058686c20b9552510887b2612817b271497672520b9557f55b9,8888a84818b8f03c2198110168a8202f6baa292f6aac3f336898110132ed11
12,OUT,-127203296,12,31,218,151,dac7001c5500589f9724b9552a14887b2916817b281097672a24b9558855ca,977fa84818b8f0cbda9c110167ac202f64ae292f65a83f33679c1101c5ed62
13,OUT,623813272,13,31,219,150,dbdd001c550058858328b9551218887b111a817b101c97671228b9559255dc,9665a84818b8f0d1ce9011015fa0202f5ca2292f5da43f335f901101dfed74
14,OUT,1191979937,14,31,216,149,d8d2001c5500588a982cb9551d1c887b1e1e817b1f1897671d2cb9559d55ef,956aa84818b8f0ded594110150a4202f53a6292f52a03f3350941101d0ed47
15,OUT,-1706458855,15,31,217,148,d9e6001c550058bef030b9550700887b0402817b050497670730b955a95503,945ea84818b8f0eabd8811014ab8202f49ba292f48bc3f334a881101e4edab
16,OUT,-1670780152,16,8,222,147,de96001c55001bb6,932ea84818b8b3e2
17,OUT,1093419440,17,8,223,146,dfe4001c55001bc4,925ca84818b8b390
18,OUT,588171401,18,271,220,145,dc4a001c54006fd45a3cb9551b0d81621c7f8963690d88606a788c665a3cb9555a3cb9555a3cb9555a3cb9555a3cb9555a3cb9555a3cb9555a3cb9555a3cb955,91f2a84819b8c7801784110156b5293651c7213724b5203427c02432178411011784110117841101178411011784110117841101178411011784110117841101
19,OUT,-28614095,19,41,221,144,dd87001c55000ac26840b9556840b9556840b9556840b9556840b9556840b9556840b9556840b95581,903fa84818b8a29625f8110125f8110125f8110125f8110125f8110125f8110125f8110125f81101cc
20,OUT,-414459141,20,8,210,159,d290001c550008f4,9f28a84818b8a0a0
21,OUT,974024771,21,9,211,158,d361001c56000b07ad,9ed9a8481bb8a353e0
22,OUT,1479342458,22,8,208,157,d0d5001c56000a19,9d6da8481bb8a24d
23,OUT,-2056694846,23,17,209,156,d1d4001c56004124aa58b955aaae46aa24,9c6ca8481bb8e970e7e01101e716eefe69
24,OUT,1781369070,24,8,214,155,d613001c56004242,9baba8481bb8ea16
25,OUT,-1217912234,25,8,215,154,d72e001c56007658,9a96a8481bb8de0c
26,OUT,-716526737,26,12,212,153,d4d1001c5600416be65cb955,9969a8481bb8e93fabe41101
27,OUT,135201239,27,8,213,152,d584001c56007787,983ca8481bb8dfd3
28,OUT,286243101,28,8,234,167,eac3001c56000ca0,a77ba8481bb8a4f4
29,OUT,-867560539,29,8,235,166,eb8a001c56000cba,a632a8481bb8a4ee
30,OUT,-1368876388,30,9,232,165,e8d3001c560008d49f,a56ba8481bb8a080d2
31,OUT,1932341284,31,8,233,164,e9f3001c560035f1,a44ba8481bb89da5
32,OUT,-1574416706,32,8,238,163,ee4e001c5700310e,a3f6a8481ab8995a
33,OUT,2137908230,33,8,239,162,efba001c5700322c,a202a8481ab89a78
34,OUT,491744575,34,8,236,161,ec73001c5700314b,a1cba8481ab8991f
35,OUT,-1073035385,35,29,237,160,edb8001c5700407e2f7e46aad089b955d07f46aa2f81b955d080b95549,a000a8481ab8e82a62c6eefe9d3111019dc7eefe623911019d38110104
36,OUT,-653623475,36,8,226,175,e2ac001c5700198c,af14a8481ab8b1d8
37,OUT,72340981,37,27,227,174,e357001c57004fbd0e8ab955c4776a85b77b0ca20f8ab955ae57b8,aeefa8481ab8e7e94332110189cfc2d1fac3a4f642321101e3ef10
38,OUT,1718443212,38,8,224,173,e0f1001c570019d1,ad49a8481ab8b185
