ItemCode	Name	Comment
52122381	青铜基础徽印礼包	可以获得1级徽印的基础礼包\n等级：1\n花式技能：包含花式技能\n能力效果：包含所有能力效果\n背景色：包含所有背景色\n租用/永久：永久徽印
52122391	白银基础徽印礼包	可以获得1~3级徽印的基础礼包\n等级：1~3\n花式技能：包含花式技能\n能力效果：包含所有能力效果\n背景色：包含所有背景色\n租用/永久：永久徽印
52122361	近投进攻入门礼包	可以获得进攻属性近投花式技能徽印的租用徽印礼包\n等级：1\n花式技能：近投花式技能\n能力效果：进攻能力效果\n背景色：包含所有背景色\n租用/永久：租用徽印（耐久度1000）
52122371	近距离灌篮进攻入门礼包	可以获得进攻属性近距离灌篮花式技能徽印的租用徽印礼包\n等级：1\n花式技能：近距离灌篮花式技能\n能力效果：进攻能力效果\n背景色：包含所有背景色\n租用/永久：租用徽印（耐久度1000）
52122221	近距离上篮进攻入门礼包	可以获得进攻属性近距离上篮花式技能徽印的租用徽印礼包\n等级：1\n花式技能：近距离上篮花式技能\n能力效果：进攻能力效果\n背景色：包含所有背景色\n租用/永久：租用徽印（耐久度1000）
52122231	远距离灌篮进攻入门礼包	可以获得进攻属性远距离灌篮花式技能徽印的租用徽印礼包\n等级：1\n花式技能：远距离灌篮花式技能\n能力效果：进攻能力效果\n背景色：包含所有背景色\n租用/永久：租用徽印（耐久度1000）
52122241	远距离上篮进攻入门礼包	可以获得进攻属性远距离上篮花式技能徽印的租用徽印礼包\n等级：1\n花式技能：远距离上篮花式技能\n能力效果：进攻能力效果\n背景色：包含所有背景色\n租用/永久：租用徽印（耐久度1000）
52122251	中投进攻入门礼包	可以获得进攻属性中投花式技能徽印的租用徽印礼包\n等级：1\n花式技能：中投花式技能\n能力效果：进攻能力效果\n背景色：包含所有背景色\n租用/永久：租用徽印（耐久度1000）
52122261	3分球进攻入门礼包	可以获得进攻属性3分球花式技能徽印的租用徽印礼包\n等级：1\n花式技能：3分球花式技能\n能力效果：进攻能力效果\n背景色：包含所有背景色\n租用/永久：租用徽印（耐久度1000）
52122271	运球进行入门礼包	可以获得进攻属性运球花式技能徽印的租用徽印礼包\n等级：1\n花式技能：运球花式技能\n能力效果：进攻能力效果\n背景色：包含所有背景色\n租用/永久：租用徽印（耐久度1000）
52122281	近投防守入门礼包	可以获得防守属性近投花式技能徽印的租用徽印礼包\n等级：1\n花式技能：近投花式技能\n能力效果：防守能力效果\n背景色：包含所有背景色\n租用/永久：租用徽印（耐久度1000）
52122291	近距离灌篮防守入门礼包	可以获得防守属性近距离灌篮花式技能徽印的租用徽印礼包\n等级：1\n花式技能：近距离灌篮花式技能\n能力效果：防守能力效果\n背景色：包含所有背景色\n租用/永久：租用徽印（耐久度1000）
52122301	近距离上篮防守入门礼包	可以获得防守属性近距离上篮花式技能徽印的租用徽印礼包\n等级：1\n花式技能：近距离上篮花式技能\n能力效果：防守能力效果\n背景色：包含所有背景色\n租用/永久：租用徽印（耐久度1000）
52122311	远距离灌篮防守入门礼包	可以获得防守属性远距离灌篮花式技能徽印的租用徽印礼包\n等级：1\n花式技能：远距离灌篮花式技能\n能力效果：防守能力效果\n背景色：包含所有背景色\n租用/永久：租用徽印（耐久度1000）
52122321	远距离上篮防守入门礼包	可以获得防守属性远距离上篮花式技能徽印的租用徽印礼包\n等级：1\n花式技能：远距离上篮花式技能\n能力效果：防守能力效果\n背景色：包含所有背景色\n租用/永久：租用徽印（耐久度1000）
52122331	中投防守入门礼包	可以获得防守属性中投花式技能徽印的租用徽印礼包\n等级：1\n花式技能：中投花式技能\n能力效果：防守能力效果\n背景色：包含所有背景色\n租用/永久：租用徽印（耐久度1000）
52122341	3分球防守入门礼包	可以获得防守属性3分球花式技能徽印的租用徽印礼包\n等级：1\n花式技能：3分球花式技能\n能力效果：防守能力效果\n背景色：包含所有背景色\n租用/永久：租用徽印（耐久度1000）
52122351	运球进攻入门礼包	可以获得防守属性运球花式技能徽印的租用徽印礼包\n等级：1\n花式技能：运球花式技能\n能力效果：防守能力效果\n背景色：包含所有背景色\n租用/永久：租用徽印（耐久度1000）
