MotionIndex	FaceID1	EffectSkin1	Actor1	FaceID2	EffectSkin2	Actor2	FaceID3	EffectSkin3	Actor3	FaceID4	EffectSkin4	Actor4
1005	401	40069	2	401	0	0	401	0	0	401	0	0
1006	401	40069	2	401	0	0	401	0	0	401	0	0
1007	401	40070	2	401	0	0	401	0	0	401	0	0
1008	401	40071	2	401	0	0	401	0	0	401	0	0
1009	401	40072	2	401	0	0	401	0	0	401	0	0
1010	402	40073	2	402	0	0	402	0	0	402	0	0
1011	402	40073	2	402	0	0	402	0	0	402	0	0
1012	402	40074	2	402	0	0	402	0	0	402	0	0
1013	402	40075	2	402	0	0	402	0	0	402	0	0
1014	402	40076	2	402	0	0	402	0	0	402	0	0
1015	403	40093	2	403	0	0	403	0	0	403	0	0
1016	403	40093	2	403	0	0	403	0	0	403	0	0
1017	403	40094	2	403	0	0	403	0	0	403	0	0
1018	403	40095	2	403	0	0	403	0	0	403	0	0
1019	403	40096	2	403	0	0	403	0	0	403	0	0
1020	404	40097	2	404	0	0	404	0	0	404	0	0
1021	404	40097	2	404	0	0	404	0	0	404	0	0
1022	404	40098	2	404	0	0	404	0	0	404	0	0
1023	404	40099	2	404	0	0	404	0	0	404	0	0
1024	404	40100	1	404	0	0	404	0	0	404	0	0
1025	405	40117	2	405	0	0	405	0	0	405	0	0
1026	405	40117	2	405	0	0	405	0	0	405	0	0
1027	405	40118	2	405	0	0	405	0	0	405	0	0
1028	405	40120	2	405	0	0	405	0	0	405	0	0
1029	405	40119	1	405	0	0	405	0	0	405	0	0
1030	406	40121	2	406	0	0	406	0	0	406	0	0
1031	406	40121	2	406	0	0	406	0	0	406	0	0
1032	406	40122	2	406	0	0	406	0	0	406	0	0
1033	406	40124	2	406	0	0	406	0	0	406	0	0
1034	406	40123	1	406	0	0	406	0	0	406	0	0
1054	504	40003	1	504	0	0	504	0	0	504	0	0
1055	504	40004	1	504	0	0	504	0	0	504	0	0
1056	504	40005	2	504	0	0	504	0	0	504	0	0
1057	504	40006	1	504	0	0	504	0	0	504	0	0
1058	504	40002	1	504	0	0	504	0	0	504	0	0
1059	504	40007	2	504	0	0	504	0	0	504	0	0
