SkinCode	EffectSkin1	Actor1	EffectSkin2	Actor2
1131039	48	1	0	0
1131017	49	1	0	0
1141015	50	1	0	0
1141027	51	1	57	2
1141049	52	1	0	0
1141018	53	1	0	0
1131016	54	1	0	0
1141060	55	1	0	0
1141061	56	1	0	0
1141056	57	2	0	0
1131036	58	1	0	0
1131038	59	1	60	2
1131037	61	1	0	0
1231039	69	1	0	0
1241025	70	1	0	0
1241027	71	1	72	2
1241036	72	2	0	0
1241067	70	1	0	0
1231005	91	2	92	2
1300001	40001	1	0	0
1321510	40003	1	0	0
1321511	40004	1	0	0
1321512	40005	2	0	0
1321513	40006	1	0	0
1321514	40002	1	0	0
1321515	40007	2	0	0
1400001	40014	1	0	0
1421516	40008	2	0	0
1421517	40009	1	0	0
1421518	40010	1	0	0
1421519	40011	1	0	0
1421520	40012	1	0	0
1421521	40013	2	0	0
1500001	40021	1	0	0
1521522	40015	2	0	0
1521523	40016	1	0	0
1521524	40017	2	0	0
1521525	40018	1	0	0
1521526	40019	1	0	0
1521527	40020	2	0	0
1600001	40028	1	0	0
1621528	40022	1	0	0
1621529	40023	2	0	0
1621530	40024	2	0	0
1621531	40025	2	0	0
1621532	40026	1	0	0
1621533	40027	2	0	0
1700001	40040	1	0	0
1700002	40044	1	0	0
1721534	40031	2	0	0
1721535	40032	2	0	0
1721536	40033	2	0	0
1721537	40034	1	0	0
1800001	40039	1	0	0
1800002	40043	1	0	0
1821538	40035	2	0	0
1821539	40036	1	0	0
1821540	40037	2	0	0
1821541	40038	1	0	0
1900001	40054	1	0	0
1900002	40056	1	0	0
1921542	40045	2	0	0
1921543	40046	1	0	0
1921544	40047	2	0	0
1921545	40048	1	0	0
2000001	40053	1	0	0
2000002	40055	1	0	0
2021546	40049	2	0	0
2021547	40050	1	0	0
2021548	40051	2	0	0
2021549	40052	1	0	0
2100001	40067	1	0	0
2121550	40061	2	0	0
2121551	40063	1	0	0
2121552	40063	1	0	0
2121553	40065	2	0	0
2200001	40068	1	0	0
2221554	40062	2	0	0
2221555	40064	1	0	0
2221556	40064	1	0	0
2221557	40066	2	0	0
2500001	40087	1	0	0
2500002	40089	1	0	0
2521566	40079	2	0	0
2521567	40080	2	0	0
2521568	40081	2	0	0
2521569	40082	2	0	0
2600001	40088	1	0	0
2600002	40090	1	0	0
2621570	40083	2	0	0
2621571	40084	2	0	0
2621572	40085	2	0	0
2621573	40086	1	0	0
2900001	40114	1	0	0
2900002	40115	1	0	0
2921587	40103	2	0	0
2921588	40104	2	0	0
2921589	40105	2	0	0
2921590	40106	1	40107	2
2921591	40108	2	0	0
2921592	40109	2	0	0
2921593	40110	2	0	0
2921594	40111	1	0	0
2921595	40112	2	0	0
2931049	40113	1	0	0
3200001	40137	1	0	0
3200002	40138	1	0	0
3221605	40127	2	0	0
3221606	40128	2	0	0
3221607	40129	2	0	0
3221608	40130	2	0	0
3221609	40131	2	0	0
3221610	40132	2	0	0
3221611	40133	2	0	0
3221612	40134	1	0	0
3221613	40135	1	0	0
3221567	40140	1	0	0
3221568	40141	1	0	0
3231052	40136	1	0	0
3300001	40152	1	0	0
3300002	40153	1	0	0
3321605	40142	2	0	0
3321606	40143	2	0	0
3321607	40144	2	0	0
3321608	40145	2	0	0
3321609	40146	2	0	0
3321610	40147	2	0	0
3321611	40148	2	0	0
3321612	40149	1	0	0
3321613	40150	1	0	0
3321567	40155	1	0	0
3331052	40151	1	0	0
3400001	40166	1	0	0
3400002	40167	1	0	0
3421614	40156	2	0	0
3421615	40157	2	0	0
3421616	40158	2	0	0
3421617	40159	2	0	0
3421618	40160	2	0	0
3421619	40161	2	0	0
3421620	40162	2	0	0
3421621	40163	1	0	0
3421622	40164	2	0	0
3431053	40165	1	0	0
3500001	40180	1	0	0
3500002	40181	1	0	0
3521614	40170	2	0	0
3521615	40171	2	0	0
3521616	40172	2	0	0
3521617	40173	2	0	0
3521618	40174	2	0	0
3521619	40175	2	0	0
3521620	40176	2	0	0
3521621	40177	1	0	0
3521622	40178	2	0	0
3531053	40179	1	0	0
3600001	40194	1	0	0
3600002	40195	1	0	0
3621623	40184	2	0	0
3621624	40185	2	0	0
3621625	40186	2	0	0
3621626	40187	2	0	0
3621627	40188	2	0	0
3621628	40189	2	0	0
3621629	40190	2	0	0
3621630	40191	1	0	0
3621631	40192	1	0	0
3621584	40196	1	0	0
3631054	40193	1	0	0
3700001	40208	1	0	0
3700002	40209	1	0	0
3721632	40198	2	0	0
3721633	40199	2	0	0
3721634	40200	2	0	0
3721635	40201	2	0	0
3721636	40202	2	0	0
3721637	40203	2	0	0
3721638	40204	2	0	0
3721639	40205	1	0	0
3721640	40206	1	0	0
3731055	40207	1	0	0
3800001	40223	1	0	0
3800002	40224	1	0	0
3821632	40213	2	0	0
3821633	40214	2	0	0
3821634	40215	2	0	0
3821635	40216	2	0	0
3821636	40217	2	0	0
3821637	40218	2	0	0
3821638	40219	2	0	0
3821639	40220	1	0	0
3821640	40221	1	0	0
3831055	40222	1	0	0
3941015	10012	2	0	0
3931015	10013	1	0	0
3931023	10011	2	0	0
3941061	10014	2	0	0
4021008	20050	1	0	0
4021009	20045	1	0	0
4021029	20047	1	0	0
4021094	20046	1	0	0
4041018	20049	2	0	0
4041027	20048	2	0	0
4041056	20051	2	0	0
4141015	10016	2	0	0
4131015	10017	1	0	0
4131023	10015	2	0	0
4141061	10018	2	0	0
4221008	20057	1	0	0
4221009	20052	1	0	0
4221029	20054	1	0	0
