SpecialtyIndex	FaceID	EffectSkin1	Actor1	EffectSkin2	Actor2
538091219	538	40267	1	0	0
538030019	538	40268	1	0	0
538040048	538	40269	2	0	0
538040002	538	40270	2	0	0
538040023	538	40271	2	0	0
538040068	538	40272	2	0	0
538040033	538	40273	2	0	0
538040012	538	40274	2	0	0
540091231	540	40267	1	0	0
540030019	540	40268	1	0	0
540040048	540	40269	2	0	0
540040002	540	40270	2	0	0
540040023	540	40271	2	0	0
540040068	540	40272	2	0	0
540040033	540	40273	2	0	0
540040012	540	40274	2	0	0
542091244	542	40267	1	0	0
542030019	542	40268	1	0	0
542040048	542	40269	2	0	0
542040002	542	40270	2	0	0
542040023	542	40271	2	0	0
542040068	542	40272	2	0	0
542040033	542	40273	2	0	0
542040012	542	40274	2	0	0
544091259	544	40267	1	0	0
544030019	544	40268	1	0	0
544040048	544	40269	2	0	0
544040002	544	40270	2	0	0
544040023	544	40271	2	0	0
544040068	544	40272	2	0	0
544040033	544	40273	2	0	0
544040012	544	40274	2	0	0
