ItemCode	PakNum	EffectCode	ItemName	Comment
100001	1		爆炸头	表现你无穷魅力的方法就是来一个蓬松的发型.
100101	1		瀑布长发	"无论场内还是场外,都可以展现你霸气的长发发型."
100201	1		莫西干发型	个性十足的黑人头型.
100301	1		张扬	"你的个性升华到发型时,剩下得只有打败对手了."
100401	1		基本发型（男）	基本发型（男）
100501	1		不羁	"酷酷的,藐视一切"
100601	1		霸道	"<警告>小心,别挡道."
100701	1		热血络腮胡	"如果你是热血澎湃的年轻人,那么就用热血络腮胡!"
100801	1		小平头	为啥人们总躲避我呢？
100901	1		椰子树	我行我素
101001	1		干练的短发	符合清秀外形的短发
101101	1		小贝发型	贝克汉姆的酷酷头型
101201	1		楔子平头	宁可头破血流也决不服输.
101301	1		超赛亚头型	"“超级赛亚人”的造型,一定把所有人都能惊呆！"
101401	1		印第安莫西干	"看上去cool酷的打扮,不过不知道实力如何…"
101501	1		艳后发型	"专门为模特设计的超酷发型,在球场上也一定吸引目光"
101601	1		--	--
101701	1		--	--
101801	1		--	--
110001	1		街舞风遮阳帽	胜利的准备已经做好了.街舞爱好者专用帽.
110101	1		遮阳帽	展现都市休闲风情
110201	1		FS运动帽	做好胜利前的的准备工作.
110301	1		时尚头带	风格酷酷的头带
110401	1		耳麦	运球就是靠节奏.
110501	1		FS耳麦	"开始比赛了,Hiphop,街头篮球和Freestyle."
110601	1		信念	街头篮球的精神.街头篮球的必备品.
110701	1		FS运动帽特别版	戴帽子的另一种方法.
110801	1		印第安休闲帽	真正的街头篮球爱好者应该可以接受这类物品.
110901	1		渔夫帽	Hiphop风格的基础物品.
111001	1		头带	气喘吁吁和汗流浃背还有头带.这才是真正的篮球人.
111101	1		头绳	"紧紧的头绳,发光的眼神."
111201	1		酷酷遮阳帽	酷酷的发型和帽子.
111301	1		复古南瓜帽	有时复古也是时尚.
111401	1		印第安节日帽	有时候节日的气氛也能感染对手.
111501	1		牛仔帽	多一条线能使你耀眼.
111601	1		支配	可以决定比赛的头型.
111701	1		头巾+帽子	时尚人的选择!
111801	1		ROCKIT CAP    	这个帽子是ROCK IT!!我的身体在 SHAKE IT !!
111901	1		毛巾帽	能吸汗的新概念帽
112001	1		登山帽	聪慧风格的登山帽
112101	1		耳机&帽子&黑人头	"时尚耳机和帽子,还有前卫的头型"
112201	1		防风镜I	都市有为青年.
112301	1		猎帽(男)	"悠闲,是种生活态度."
112401	1		实用滑雪帽	"把头整个裹起来,决不怕出汗,因为太帅了！！"
112501	1		圣诞帽	圣诞帽
112601	1		圣诞帽	圣诞帽
112701	1		雪人面具	雪人面具
112801	1		--	--
112901	1		--	--
113001	1		FS头盔	戴好你的头盔！准备战斗！人间大炮……
113101	1		FS头盔	戴好你的头盔！准备战斗！人间大炮……
113201	1		--	--
113301	1		霸王头	"看上去威猛无敌的样子,令对手不寒而栗"
113401	1		长碎发	凌乱的碎发彰显不羁的性格
113501	1		--	--
113601	1		--	--
113701	1		--	--
113801	1		--	--
113901	1		--	--
114001	1		--	--
114101	1		--	--
114201	1		--	--
114301	1		--	--
114401	1		--	--
125001	1		马尾辫	无需说明的可爱发型.
125101	1		羊角辫	可爱的羊角辫.
125201	1		碎发	精干的短发.
125301	1		黑妹长发	长长的黑人头发.
125401	1		黑妹扎辨	酷酷的扎辫头型.
125501	1		黑妹短发	漂亮而干练的黑人发型.
125601	1		基本发型（女）	基本发型（女）
125701	1		公主发型	公主风格发型.
125801	1		爆炸头	女孩子也可以有大胆的发型.
125901	1		短漂发	柔和曲线的短发风格.
126001	1		小淘气发型	小淘气丫头风格
126101	1		蓬松发型	丰满而舒服的风格
126201	1		文静的学生发型	文静的学生发型
126301	1		时髦马尾辫	时髦的马尾辫
126401	1		垂肩长辫	可爱的两条羊角辫
126501	1		带发卡的长发	竟有如此柔顺的长发！用了什么洗发水？！
126601	1		长碎发	凌乱的碎发彰显不羁的性格
126701	1		--	--
